Jewish Defense League (JDL),45
Black Panthers,44
Ku Klux Klan (KKK),44
Omega-7,37
El Rukn,36
Army of God,35
Order II,33
Aryan Nations (AN),31
Armed Forces of National Liberation,24
Hammerskin Nation,21
al-Fuqra,21
Covenant Sword and Arm of the Lord (CSA),20
Islamic Salvation Front,14
Croatian Freedom Fighters (CFF),13
Nation of Yahweh,13
Cambodian Freedom Fighters (CFF),13
Yemen Islamic Jihad,10
Justice Commandos for the Armenian Genocide,9
Armenian Revolutionary Army,9
Hector Riobe Brigade,2
Black Revolutionary Assault Team,1
Independent Armed Revolutionary Movement (MIRA),1
